"","BNPMFA","BayesSpace","SCMEB","DRSC","Louvain","SpaGCN","BASS","STAGATE","GraphST","ADEPT","BANKSY"
"BZ5",0.714576641445013,0.244007689325184,0.22640923448796,0.307203133485075,0.244007689325184,0.272599157277579,0.81013894004179,0.642114991431903,0.472716944009311,0.482072469685923,0.752539002670711
"BZ14",0.743159966569175,0.189749359791824,0.212557352176839,0.298427922267141,0.189749359791824,0.207209414262267,0.681233104501165,0.560812477218748,0.395534370053659,0.564894853821647,0.624954770443511
"BZ9",0.588283884524728,0.204225395569966,0.201989169787615,0.320899130031078,0.204225395569966,0.283633152875178,0.510821030624384,0.444749964880647,0.353671277973026,0.468803348753319,0.617691173610521
