"","BNPMFA","BayesSpace","SCMEB","DRSC","Louvain","SpaGCN","BASS","STAGATE","GraphST","ADEPT","BANKSY"
"BZ5",0.754924534211685,0.142276299828733,0.0932180221130248,0.242716086121519,0.142276299828733,0.186423136364863,0.865081828999586,0.679163072591346,0.408446134777972,0.466471437215339,0.714962575093497
"BZ14",0.844519733627121,0.102570488835207,0.13045521373154,0.259598447783477,0.102570488835207,0.148748696949854,0.742880232990129,0.626336117797013,0.346606427046225,0.615180097438237,0.681073537301537
"BZ9",0.718263464175676,0.149571863993003,0.137690100621193,0.254778707852388,0.149571863993003,0.193647627630749,0.504330276140158,0.453063922064309,0.27290781487802,0.4279940398209,0.502989990013094
