"","f","ARI","K","dev1","dev2","BIC"
"1",0,0.219086033475879,8,-258430.789325953,2550.17858884859,519036.771342591
"2",0.5,0.232115284038089,6,-258544.903082218,2821.0879848312,518653.624137072
"3",1,0.402449897546787,6,-258449.115044254,1549.10401187734,520936.460080967
"4",1.5,0.584643279962767,3,-258705.807975475,1122.96209435776,522267.351815407
"5",2,0.568882900228502,3,-258641.071926754,878.946359481337,522625.911187718
"6",2.5,0.800037342703526,4,-258578.716698865,813.02802702946,522633.037396843
"7",3,0.775458579396154,4,-258632.772018191,854.415469350697,522658.373150852
"8",3.5,0.790235531599738,5,-258598.195967274,847.39094000225,522638.048070759
"9",4,0.613820726804681,5,-258459.778674106,898.419332000511,522293.934663468
"10",4.5,0.74406893288457,5,-258604.12976569,1009.29988700884,522326.097773577
"11",5,0.614161024034975,5,-258619.082470202,1121.96138137905,522165.458156903
