"ARI" "" "" "" "" "" ""
"result.1" 0 0 0 1 -8123406.30011315 -100782.166884364 16611093.406716
"result.2" 0.590665155411938 0.556882874486266 0.557709556325584 3 -8114206.77736328 -99686.1835132113 16590649.9496521
"result.3" 0 0 0 1 -8109068.40526497 -100897.502789041 16582648.288829
"result.4" 0 0 0 1 -8073249.46771227 -100627.341348191 16510470.0908419
"result.5" 0 0 0 1 -8113633.54494372 -100821.015490508 16591625.5935894
"result.6" 0.335023782795936 0.322084759313488 0.322715954860376 2 -8113942.81377953 -99985.7538632799 16590647.3855957
"result.7" 0 0 0 1 -8106207.78817021 -100523.759637296 16576179.568336
"result.8" 0.547352169880921 0.505937772336482 0.506859546553077 3 -8082538.21792598 -99894.2960289603 16527729.055809
"result.9" 0 0 0 1 -8150377.68298591 -100511.266727588 16664494.372148
"result.10" 0 0 0 1 -8147426.84824765 -100638.79351748 16658847.7562512
"result.11" 0 0 0 1 -8116146.16914145 -100513.364966025 16596035.5409359
"result.12" 0 0 0 1 -8093905.45551755 -100365.99971685 16551259.3831898
"result.13" 0 0 0 1 -8113187.74446078 -100649.125080938 16590390.2118044
"result.14" 0 0 0 1 -8145299.24814978 -100445.04288999 16654205.0548005
"result.15" 0 0 0 1 -8060661.10931742 -100652.721656469 16485344.1346687
"result.16" 0 0 0 1 -8141191.61446922 -100617.090159505 16646333.8819784
"result.17" 0 0 0 1 -8111949.69016414 -100639.02604231 16587893.9051339
"result.18" 0 0 0 1 -8131845.58779412 -100676.54899489 16627760.746299
"result.19" 0 0 0 1 -8090676.30886835 -100416.839962064 16544902.7703818
"result.20" 0 0 0 1 -8152378.11757831 -100445.210229382 16668363.1283364
"result.21" 0 0 0 1 -8079850.7865401 -100645.244033727 16523708.5338686
"result.22" 0.572766424104067 0.532424544687998 0.533296687626796 3 -8127368.56003738 -99833.9542937874 16617269.0565615
"result.23" 0 0 0 1 -8095151.44231256 -100546.386437982 16554112.130222
"result.24" 0 0 0 1 -8155929.45532563 -100295.16763504 16675165.7186423
"result.25" 0 0 0 1 -8125451.14907777 -100589.440931839 16614797.6527402
"result.26" 0 0 0 1 -8116674.64053063 -100608.03334643 16597281.8204751
"result.27" 0 0 0 1 -8124477.8176405 -100488.82755487 16612649.7631117
"result.28" 0 0 0 1 -8139742.33351866 -100603.806672193 16643408.7531027
"result.29" 0.563237094850022 0.524657257527408 0.52554395179952 3 -8134417.88611397 -99634.30346447 16630968.407056
"result.30" 0 0 0 1 -8142162.57862695 -100620.41376683 16648282.4575085
