"ARI" "" "" "" "" "" ""
"result.1" 0.628996740753059 0.600798385123464 0.601542656752989 3 -8123649.98692067 -99833.5810589501 16609831.1638584
"result.2" 0.627507075640009 0.601934223010483 0.602676532154778 3 -8114212.37911459 -99784.6637447506 16590858.1136178
"result.3" 0.642793343236152 0.61542043487951 0.616137417739236 3 -8109296.11115412 -100008.268785859 16581472.7877791
"result.4" 0.95692600054557 0.925721848768725 0.926000181114016 5 -8073375.43876165 -98837.4319665952 16507437.3245338
"result.5" 0.587934219082884 0.554093638316958 0.554925463707732 3 -8113877.659162 -100248.702746433 16591116.751716
"result.6" 0.927991866805617 0.889810244118298 0.890223775269617 5 -8113833.03182123 -99103.8221948718 16588885.2911095
"result.7" 0.835275402864308 0.803449505177427 0.804000288555663 4 -8106076.34419044 -99516.595574761 16574123.6850186
"result.8" 0.945271119795672 0.910866322461522 0.911200495195813 5 -8082516.14343625 -99091.9997611963 16526227.8694722
"result.9" 0 0 0 1 -8150480.58138492 -100634.683825153 16664947.0031411
"result.10" 0.625583722631131 0.601841685451968 0.602584001940019 3 -8147630.88240584 -99625.0959523558 16657375.9846155
"result.11" 0.641855709079934 0.619447492001346 0.620157001326192 3 -8116330.6873776 -99726.2320010097 16594977.8666564
"result.12" 0.936391388170065 0.90177623925868 0.902144424867445 5 -8094070.06082298 -99016.8471209686 16549185.3989652
"result.13" 0.807838891731128 0.760987168906272 0.761657555443855 4 -8113171.21163358 -99520.8189118812 16588321.8665791
"result.14" 0.642041195400321 0.616806418959995 0.617520830837654 3 -8145529.07540425 -99741.8526769371 16653405.8840615
"result.15" 0.642794479891317 0.618461321063817 0.619172664595635 3 -8060794.19347887 -99734.8794802363 16483922.1738173
"result.16" 0.632424935852072 0.603717199959659 0.604456027081458 3 -8141420.23830151 -99914.5247425129 16645533.5539872
"result.17" 0.945505787480294 0.902643489468292 0.903008610503142 5 -8112154.65298374 -99191.930635891 16585704.7503166
"result.18" 0.645708686383256 0.620742502219486 0.621449522795887 3 -8132100.59472214 -99654.7259528059 16626374.669249
"result.19" 0.628970358285203 0.604190279070426 0.604928315695313 3 -8090839.29349884 -99478.9929562008 16543500.6008092
"result.20" 0.939957596320346 0.899529147507575 0.899905810777718 5 -8152595.50523293 -99057.6121450496 16666317.8178333
"result.21" 0.800954145696702 0.763042502037512 0.763706944297033 4 -8079902.13345858 -99300.2415506024 16521342.5555066
"result.22" 0.638632116431115 0.612600864403616 0.613323135681487 3 -8127368.70128198 -99877.1265610416 16617355.6835852
"result.23" 0.651128944864119 0.628638197780446 0.629330517531641 3 -8095255.96218232 -99841.9256316927 16553059.8035271
"result.24" 0.615868708803761 0.580814320627761 0.581596012596851 3 -8156139.48363546 -99464.4617232877 16674071.9186166
"result.25" 0.633969873658504 0.604530316383472 0.605267689833976 3 -8125608.94086046 -99581.8254197487 16613245.5604595
"result.26" 0.590108454935968 0.56130706222065 0.562125445952058 3 -8116931.41924452 -99699.8959442281 16596126.6582766
"result.27" 0.932597535665196 0.89959583163104 0.899972462783783 5 -8124677.78623195 -98849.7761246526 16610066.7077905
"result.28" 0.928936493720398 0.880218604088733 0.880668034475014 5 -8139933.26175131 -99034.775768379 16640947.6581167
"result.29" 0.633471472525085 0.609858768170418 0.610586117871554 3 -8134374.42763518 -99634.2449263963 16630881.3730223
"result.30" 0.608856155392558 0.580205531798697 0.580988470713668 3 -8142397.08175868 -99699.9530837641 16647058.097584
