"","ARI","AMI","NMI","spARI"
"BNPMFA",0.294027914501046,0.47683372229146,0.478753160217533,0.357901332745913
"BayesSpace",0.411248631133638,0.622248881594997,0.623275887299301,0.422235024780952
"SCMEB",0.320020451003365,0.455340305108568,0.457033574736937,0.294235586306645
"DRSC",0.337347008018572,0.495693247014009,0.496835460213826,0.373162774275527
"Louvain",0.271368584708453,0.384846072289606,0.386641654041369,0.265975102721614
"SpaGCN",0.287856433403083,0.339573917880563,0.341390693825507,0.357724091053369
"BASS",0.452687462749492,0.61489231374636,0.615939492095243,0.436594926528514
"STAGATE",0.398401346652623,0.547832983058653,0.549062270786456,0.443734418004056
"GraphST",0.335329375071592,0.45943610007613,0.460905842876918,0.359480213368215
"ADEPT",0.463257602549681,0.601225892744376,0.602309624674462,0.480938543167096
"BANKSY",0.424617622311823,0.5247885990733,0.526081235919435,0.467154731351737
