"","ARI","AMI","NMI","spARI"
"BNPMFA",0.677172747168111,0.608061616298977,0.608620500601555,0.707273228778192
"BayesSpace",0.57931696518727,0.645711611223163,0.646216527595264,0.578753485134949
"SCMEB",0.43619881168973,0.503638079892795,0.504393524114139,0.392593597106625
"DRSC",0.417422564119963,0.542423020059956,0.543074955654334,0.424082504688266
"Louvain",0.279532059149336,0.414322458104095,0.415126343414398,0.250445991211438
"SpaGCN",0.310549366806157,0.409723956264283,0.410504665635909,0.263002228977943
"BASS",0.570834950959564,0.654537491807451,0.654999731899452,0.539333941498986
"STAGATE",0.634444091576662,0.597701038636618,0.598276050642748,0.688040470063861
"GraphST",0.477889256784077,0.543310600705862,0.543914713842489,0.451955442620856
"ADEPT",0.424810267237361,0.582112327769135,0.582704260134429,0.414115006537194
"BANKSY",0.512330465727128,0.56689709813995,0.567467895204698,0.486467521631366
