,ARI
0,0.4945725532035473
1,0.4348106586657014
2,0.5010335640589313
3,0.34269524414093405
4,0.3780380750093402
5,0.4173310055750681
6,0.4342377147206364
7,0.4682699818371038
8,0.5282718963824201
9,0.543428532194701
10,0.4119974441381743
11,0.4471878786592602
12,0.49407874790345224
13,0.48546334002046426
14,0.4447554866354049
15,0.4210248203782477
16,0.33963756365162134
17,0.4206536218589471
18,0.49624436440024594
19,0.43496702851524005
20,0.4554908790373936
21,0.4657161391053677
22,0.4883762623039611
23,0.4221787638304537
24,0.4751945275092225
25,0.500997749818623
26,0.47374073613800044
27,0.3475737778880321
28,0.49232615565456905
29,0.5249485335773393
30,0.47939947789355636
31,0.44449248955349907
32,0.5027879560620858
33,0.47441728522068227
34,0.4918721503879189
35,0.5180976501085784
36,0.47255399264939074
37,0.47289421572358825
38,0.5131927003902659
39,0.4800739561790218
40,0.42865674842604445
41,0.37060911477469277
42,0.41963064303015163
43,0.4725848792725744
44,0.4535142465903927
45,0.48670086547432007
46,0.45521911343579363
47,0.4602562765052234
48,0.5094352903557006
49,0.414065383415619
