"","f","ARI","K","dev1","dev2","BIC"
"1",0,0.207290333787722,10,-232578.844455965,6004.85400177005,460496.674253604
"2",0.5,0.397608860680525,6,-232908.931064966,5552.52603093697,461956.62196686
"3",1,0.607518024155426,6,-233212.770729565,4368.70443622308,464896.98400335
"4",1.5,0.757724152494716,3,-233300.67716867,3764.25027594773,466211.784237835
"5",2,0.818023949592688,4,-233070.5366825,3613.84878035319,466087.266738822
"6",2.5,0.848888951701796,4,-233162.275449648,3745.18645126392,466008.068931297
"7",3,0.856091854214762,4,-233125.032444757,3735.15167218499,465953.652479673
"8",3.5,0.882859810930483,4,-233075.350409119,3565.11251944533,466194.366713875
"9",4,0.820600668657872,4,-233282.768401541,3586.0025599194,466567.422617773
"10",4.5,0.831423578790104,4,-233078.94439329,3503.33615716249,466325.107406783
"11",5,0.832324053827166,4,-233051.068993001,3426.26814294897,466423.492634633
