"","BNPMFA","PCA","spatialPCA"
"1",0.450400119302209,0.121999760280616,0.182010189271433
"2",0.466232109444377,0.407901237361319,0.744286654530003
"3",0.59486706072674,0.411360909195603,0.782066277037712
"4",0.74354336032521,0.411087396449717,0.784992227165338
"5",0.78862361664681,0.441410763750841,0.825349605487361
"6",0.844126267256669,0.448910705320983,0.835483214516877
"7",0.847758494192261,0.464318635344612,0.83450963895445
"8",0.85647804767867,0.464152045653991,0.844794946318653
"9",0.863313277863889,0.488422724756582,0.852539931034634
"10",0.883259833424704,0.507705748126596,0.858715899197507
"11",0.884420085123322,0.514195663058751,0.856595973638453
"12",0.886828004162024,0.512411409195338,0.855968270187146
"13",0.88492663334796,0.513360001718764,0.877971755877075
"14",0.884582208733519,0.514239036257094,0.880432538853537
"15",0.909659476609232,0.521592818496556,0.88195875836668
