"ARI" "" "" "" ""
"result.1" 0 1 -8098614.46571293 -99893.1596141741 16559731.7233752
"result.2" 0.239288617046937 2 -8151717.69681869 -99078.6755962852 16664382.99514
"result.3" 0.105105821584143 3 -8138267.96788926 -98593.6572864108 16636587.2782505
"result.4" 0.079084119466584 3 -8136668.03973759 -98664.6083958178 16633529.3241659
"result.5" 0.197782076092494 2 -8132396.44296373 -99063.1460720333 16625709.4283816
"result.6" 0 1 -8129544.78518758 -99749.6877549814 16621305.4186061
"result.7" 0 1 -8102481.55608438 -99747.858204838 16567175.3012994
"result.8" 0.141257732173602 2 -8160447.84654746 -99140.0602034978 16681966.063812
"result.9" 0 1 -8091331.71865383 -99649.6515044038 16544679.2130374
"result.10" 0.191954118161802 2 -8132938.02598945 -99112.9788360604 16626892.2599611
"result.11" 0.196866303330496 3 -8163630.50557776 -98839.4805914805 16687730.2226485
"result.12" 0 1 -8116271.31787184 -99890.0010522506 16595039.1105691
"result.13" 0 1 -8119689.30278322 -99842.0733441959 16601779.2249758
"result.14" 0.309101976350836 4 -8143694.40244138 -98471.6133405974 16647269.8370522
"result.15" 0.238218598493079 2 -8123064.39841418 -99227.3576028781 16607373.7623442
"result.16" 0 1 -8103658.8137903 -99931.8255073674 16569897.7513163
"result.17" 0.0356226548029923 3 -8110429.09443738 -98451.5435213654 16580625.3038166
"result.18" 0.235785058938885 2 -8105642.1687705 -98905.2568010427 16571885.1014531
"result.19" 0.198128306825872 2 -8093936.91800977 -99183.8849005748 16549031.8561307
"result.20" 0.161763600073883 2 -8130539.64450874 -98879.3861982877 16621628.3117241
"result.21" 0.0048277686159101 3 -8190730.31487274 -98649.8656589548 16741624.3889625
"result.22" 0 1 -8140166.39868091 -99943.8851473668 16642937.0403775
"result.23" 0.120405151794133 3 -8125286.44386259 -98518.5340699248 16610473.9837642
"result.24" 0 1 -8109186.94457752 -99786.7317151335 16580663.8253063
"result.25" 0.208094714152004 2 -8101402.21194058 -99822.8946180222 16565166.6858382
"result.26" 0.101169519976428 2 -8121073.65998267 -99083.2151271713 16603104.0005297
"result.27" 0.219141213170421 2 -8093487.59995673 -98945.2080022936 16547655.8662281
"result.28" 0 1 -8075650.20975913 -99716.5594086323 16513450.0110565
"result.29" 0.143342131044586 2 -8130133.4017423 -99534.7756267653 16622052.8274591
"result.30" 0 1 -8091866.14471239 -99744.5789614516 16545937.9200686
"result.31" 0.364433312375476 3 -8148343.53857454 -98509.2144401024 16656569.5339284
"result.32" 0.170277499201627 2 -8123178.93648795 -98732.5583039583 16606613.2398939
"result.33" 0.149274887003646 2 -8097808.71451834 -98738.0082207706 16555883.6957883
"result.34" 0.115037033412957 2 -8133812.6396759 -98654.124509707 16627723.7786813
"result.35" 0 1 -8111641.9451499 -99636.4979555535 16585273.3589319
"result.36" 0 1 -8106179.78382823 -100033.078724783 16575142.197827
"result.37" 0.0451688408631632 3 -8147635.58349714 -98606.1495813358 16655347.4940561
"result.38" 0 1 -8113596.458047 -99549.3180018579 16589008.0248187
"result.39" 0.107900060973007 3 -8095207.39617316 -98355.9331360695 16549990.6865176
"result.40" 0 1 -8148510.89132278 -100028.363164086 16659794.9816947
"result.41" 0 1 -8133921.63884694 -99498.6928132344 16629557.1360413
"result.42" 0 1 -8174634.49672639 -100002.976094143 16711991.418362
"result.43" 0.0851077880496675 3 -8110528.96834718 -98232.692959377 16580387.3505123
"result.44" 0.0915516385668553 3 -8095045.65160495 -98786.9788461331 16550529.2888013
"result.45" 0 1 -8110600.74145216 -99677.186068627 16583272.3277625
"result.46" 0.232701487426469 3 -8108516.77260855 -98901.0061870025 16577699.5854902
"result.47" 0.213810232725061 2 -8099200.43800858 -99060.2303995498 16559311.5871263
"result.48" 0 1 -8103151.73431448 -100046.490952452 16569112.9232548
"result.49" 0 1 -8097715.01689059 -99903.8727708218 16557954.2520438
"result.50" 0 1 -8105827.46123635 -99650.8774088166 16573673.1500113
