"","f","ARI","K","dev1","dev2","BIC"
"1",0,0.252564558989349,8,-3317565.38094819,296693.915053501,6313234.48208943
"2",0.5,0.293157164721898,6,-3317203.54038512,295073.001255865,6315752.62855857
"3",1,0.418846500995489,7,-3317035.74138238,293728.832921517,6318105.36722178
"4",1.5,0.470449291413339,8,-3317236.83423568,295280.889746085,6315529.93013978
"5",2,0.416609448865066,8,-3317277.63545133,295873.72619794,6314425.85966736
"6",2.5,0.428564409019555,8,-3316451.1841663,296087.21501638,6312345.97946042
"7",3,0.358632606797585,8,-3317959.52278379,295572.52740693,6316392.03191429
"8",3.5,0.303681670843411,9,-3316710.494929,295407.74768538,6314350.02650834
