"","ARI","AMI","NMI","spARI"
"BNPMFA",0.421665834742507,0.463087448097925,0.463979362548937,0.506597855807588
"BayesSpace",0.476778575892675,0.605702529775102,0.606617423895825,0.477114247311112
"SCMEB",0.398362337096822,0.48309134264949,0.484188012250599,0.385874970668308
"DRSC",0.318732346193146,0.486244654862661,0.487080676664208,0.366507891892314
"Louvain",0.375790712772395,0.429289827632861,0.430561099228267,0.369260841740647
"SpaGCN",0.432435832110907,0.512507412194056,0.513558595960724,0.414684719990693
"BASS",0.422772335440073,0.586007976382783,0.586887112398744,0.410943875270001
"STAGATE",0.399554393406244,0.554095391019387,0.555090997989305,0.401602880816596
"GraphST",0.411940910489457,0.49672398663041,0.497786217925917,0.390018479153457
"ADEPT",0.432434775296723,0.576767524390875,0.577714171684044,0.427469379971585
"BANKSY",0.419512903309298,0.50617690258489,0.507243063925102,0.417498761232761
