,ARI,AMI,NMI
0,0.7668381502504218,0.743529347289935,0.7444513093065496
1,0.7708854581373901,0.7739210545174307,0.7747346291404908
2,0.5282726689165361,0.6191914159368154,0.6205007687911908
3,0.6039902927018804,0.6859685610142007,0.687052465342772
4,0.4686404290753845,0.5787101254757511,0.5801577966437288
5,0.49923422838445647,0.5896348966689112,0.5910345352886367
6,0.5890886803613095,0.6894330954259001,0.6904992853961051
7,0.6542143745858792,0.7153770934119121,0.71637198464758
8,0.7815380667395246,0.7633323994073565,0.7641835897696369
9,0.5398649817418534,0.6267166900664599,0.6279948960539553
10,0.4156173019216344,0.5585605859708351,0.5600855338232154
11,0.7034690398906815,0.704282400204689,0.7053301568927798
12,0.625321158191112,0.6970640637866263,0.6981187002665524
13,0.6028160175749693,0.6526878804992964,0.6538954629350746
14,0.7336107180706278,0.7172097138823775,0.7182157063742978
15,0.8649698519937745,0.8193608783437886,0.8200206825392634
16,0.5440980901756397,0.6381043828953658,0.6393445156386871
17,0.5015853406726714,0.6162945358741677,0.6176510457423168
18,0.6199167574600589,0.6535710884105902,0.6547794211479482
19,0.586097721092083,0.6929303893795257,0.6939831172265262
20,0.5798554344662175,0.6727842476667641,0.6739110369254699
21,0.5649957606996849,0.6392440513673339,0.6404980605947724
22,0.6061077679309393,0.7140942485256682,0.71507656402535
23,0.651682328734541,0.6879582040605264,0.689052895371447
24,0.6101963220659454,0.7349371195413129,0.7358470874607853
25,0.6815205924300437,0.6640119030241597,0.6651990644734128
26,0.6956410935933618,0.7315832577393301,0.7325288849469098
27,0.528444417741936,0.5762109629774171,0.5776826022112551
28,0.5770262619728623,0.6584839725092994,0.6596575298065198
29,0.7167270337296513,0.68555413887103,0.6866791891845576
30,0.612199024579379,0.6749204155258717,0.6760467284986467
31,0.5744338210433014,0.6912907755322227,0.692351543910604
32,0.39646124831384244,0.5142639596012697,0.515930888408841
33,0.5167491186737326,0.612099566837647,0.6134488876469552
34,0.48134741209630333,0.5976838798488717,0.5990768959904598
35,0.5869248734022315,0.7090834904406614,0.7100811496994134
36,0.5177417162101393,0.586113759408114,0.5875331337281889
37,0.5888446039781201,0.6130099415891893,0.6143584150809308
38,0.6691107975709154,0.6290234473524924,0.6303403462448777
39,0.6948898864678337,0.6562716393035697,0.6574977079327976
40,0.5958902187902748,0.7048307040440149,0.7058454079999493
41,0.5329937887355126,0.6061971075795779,0.6075531390988107
42,0.787377240775042,0.7244007270110174,0.7253954797760702
43,0.634863533690593,0.6899139375405358,0.6909919517926443
44,0.5910592754685717,0.6935059007110936,0.6945571551537156
45,0.5657175902267342,0.6421514573981835,0.643388246965976
46,0.5354585101152696,0.6459544914862405,0.64716713909785
47,0.6791043529411916,0.695408449780897,0.6964834759527311
48,0.5675349321684892,0.6604103553256985,0.6615747053435238
49,0.5673487736397632,0.6692049300163825,0.6703513646264146
