"ARI" "" "" "" "elapsed"
"result.1" 0.662158739994873 0.566169030522146 0.566424072770437 2 33.896
"result.2" 0.662018076687147 0.587087365356951 0.587330112061725 2 33.191
"result.3" 0.644178235994553 0.554687260637389 0.55494905471887 2 32.296
"result.4" 0.530566550961219 0.486030880577035 0.486333121415414 2 35.836
"result.5" 0.637634998373144 0.568415727847664 0.568669454782353 2 32.828
"result.6" 0.454246341771838 0.449167007610906 0.449491023790229 2 31.99
"result.7" 0.678001105997031 0.587496647781953 0.587739151866553 2 34.269
"result.8" 0.41422893319649 0.398707671982466 0.399061304126261 2 34.57
"result.9" 0.940368547160397 0.894103968219099 0.894228374786742 3 32.446
"result.10" 0.675589508753129 0.587495157207129 0.587737662702556 2 31.848
"result.11" 0.960355190078647 0.926328188138005 0.926414543843781 3 31.709
"result.12" 0.646122117834012 0.552314978869685 0.552578166861541 2 36.416
"result.13" 0.530896985783019 0.495591386584912 0.495888013809809 2 34.257
"result.14" 0.932424570269517 0.887042268316705 0.887174689356763 3 32.824
"result.15" 0.61723505456448 0.531977815551537 0.532252959230932 2 34.095
"result.16" 0.653630898106705 0.56915068703453 0.569403978846938 2 31.636
"result.17" 0 0 0 1 37.02
"result.18" 0 0 0 1 34.066
"result.19" 0.639488729114655 0.559414965262291 0.559673981749754 2 32.6370000000001
"result.20" 0.669787533337817 0.579639919403755 0.579887042100746 2 33.814
"result.21" 0.651553988947691 0.567253171420963 0.567507578315161 2 31.533
"result.22" 0 0 0 1 38.6659999999999
"result.23" 0.951924109891367 0.917817157508238 0.917913841771162 3 31.073
"result.24" 0.964841434336439 0.933072546461408 0.93315105049181 3 32.481
"result.25" 0.674249408545779 0.594999572281422 0.595237667036406 2 31.548
"result.26" 0.464350658557249 0.461034462930107 0.461351502762155 2 30.722
"result.27" 0.970457074269226 0.942976205288414 0.943043132697759 3 32.645
"result.28" 0.563965106331413 0.445518570739942 0.445844538378022 2 40.665
"result.29" 0.53306429230139 0.43395453157159 0.434287300596193 2 35.37
"result.30" 0.68431502185309 0.601506085843773 0.601740353785346 2 30.4239999999999
"result.31" 0.568835617169086 0.553910393073948 0.554172724680979 2 30.4839999999999
"result.32" 0.666754497013649 0.581096258552043 0.581342525551625 2 32.7950000000001
"result.33" 0.968055154383671 0.938890003719153 0.938961896423719 3 32.4109999999998
"result.34" 0.680120478420532 0.597344895588069 0.59758161131435 2 33.5070000000001
"result.35" 0.965431283593698 0.93421984600043 0.934297085586316 3 30.597
"result.36" 0.549406484664544 0.51954000791469 0.519822551690382 2 31.306
"result.37" 0.949276922807944 0.905024713477313 0.90513625993239 3 33.798
"result.38" 0.959212090990399 0.923749461739923 0.923839166998758 3 32.6769999999999
"result.39" 0.672521902936756 0.587868738876015 0.588111026095627 2 33.6009999999999
"result.40" 0.649221404796181 0.578044904762273 0.578292968884317 2 32.7549999999999
"result.41" 0.628233373339316 0.547910648283195 0.548176428100491 2 32.5260000000001
"result.42" 0.546240514329147 0.508700449330238 0.50898935909775 2 32.444
"result.43" 0.524037039598931 0.47822064504448 0.478527487911934 2 33.7380000000001
"result.44" 0.673091595606371 0.606919033133014 0.607150121732116 2 31.0409999999999
"result.45" 0.629539546105112 0.554195453432889 0.554457538322674 2 38.155
"result.46" 0.642177807085596 0.562453292468857 0.562710522338428 2 32.7529999999999
"result.47" 0.960109849332702 0.926803290730033 0.92688931114619 3 30.9739999999999
"result.48" 0.631153694565889 0.54150603471756 0.541775580027206 2 31.7909999999999
"result.49" 0.683697096455448 0.600758122884017 0.600992830540569 2 31.5569999999998
"result.50" 0.957341288213587 0.920866793946207 0.920959889970847 3 30.009
