,ARI,AMI,NMI
0,0.6107316146965873,0.5323814474657577,0.5329261467454621
1,0.6828436884987131,0.5960210960878756,0.5964932257990846
2,0.4229710847145447,0.39208849175109056,0.3927934711716365
3,0.19747088314649533,0.21731718497454483,0.21823537192292472
4,0.5834458334174076,0.5119934596865264,0.5125604376086409
5,0.8141825940713276,0.7293125625713484,0.7296301321142269
6,0.7761760953158219,0.6962689579116619,0.6966255929775419
7,0.751803440438784,0.6784103423158776,0.678786350751974
8,0.3664702350401645,0.328282951445442,0.32907231322265806
9,0.7359156760028857,0.6717258946747477,0.6721082559683454
10,0.6364089674537502,0.5623742544877697,0.5628833345541037
11,0.2820793122174508,0.28562979692858104,0.28645865311793606
12,0.5691649277701978,0.5343811419266554,0.5349211242534165
13,0.7303952589146728,0.6697941108334271,0.6701785658862652
14,0.7398846193254265,0.6558181462722041,0.6562200126188333
15,0.3306750110668715,0.3355704208622255,0.33633984460378163
16,0.5872830215221567,0.5034321363530022,0.5040102858745079
17,0.7108034285548717,0.6475183418076637,0.6479287310143049
18,0.6710158254578972,0.5924951194126871,0.5929709818547125
19,0.6679685909774451,0.5843966411836831,0.5848815956262683
20,0.7679109655475614,0.6993361017298938,0.6996866449596665
21,0.6545266868196391,0.5864611179439624,0.5869418506009041
22,0.5812687255549299,0.5063330384981425,0.506909556295822
23,0.6528646160248648,0.6198938441963738,0.6203348511480922
24,0.788224313940415,0.7117960986158589,0.71213388194667
25,0.7406178112427059,0.6668596132716034,0.6672486851286306
26,0.7373313405465942,0.6990215664974444,0.6993710440010243
27,0.2721430101851147,0.285799313869866,0.28663062423437335
28,0.3546235710290052,0.40101334233743546,0.40171525183464324
29,0.4158507476679279,0.37735463828128935,0.3780766097849186
30,0.7692788620401831,0.7040080356209949,0.7043529628345293
31,0.7951469257510709,0.7204625785918842,0.7207893174937807
32,0.60509924067792,0.5465079723642096,0.5470374599331617
33,0.659167974726695,0.5874057214780161,0.587888331861271
34,0.716290475160843,0.6321715757875513,0.6326047338497686
35,0.7874425530697496,0.7168976011119088,0.7172288464185557
36,0.46422149694438014,0.43461685822791607,0.4352760453505067
37,0.4200825072435836,0.371865721681945,0.3725962018716941
38,0.44143480908725813,0.3940655500714634,0.39477083835914806
39,0.7045083548000496,0.6416488852825895,0.6420658193919923
40,0.6213483943447029,0.5573708566102261,0.5578850914734933
41,0.6761102793968116,0.6057146317245631,0.6061747710178775
42,0.7587925220510838,0.6728098918884465,0.6731933121203735
43,0.5876480709684687,0.5359264537899673,0.5364652379720299
44,0.4256363075123188,0.37015510604297913,0.3708867333568349
45,0.40526073807366775,0.41364085080488106,0.41432003988870575
46,0.6222254422563067,0.5590747766643903,0.5595888371036449
47,0.6804184142927827,0.5837322532747644,0.5842190549310701
48,0.6280064882288926,0.5641768605640964,0.5646839317717336
49,0.6089778706125429,0.5770038885014174,0.5774942384387307
