"","f","ARI","AMI","NMI","K","dev1","dev2","BIC","time"
"1",0,0.39886904343923,0.42970382335998,0.430774417736991,6,-3840022.85886248,317198.342839035,7328465.21445359,3379.802
"2",0.5,0.405597444564874,0.439460973370323,0.44051264545881,6,-3840704.01403595,311245.992311831,7331732.22585494,3366.301
"3",1,0.414309737033843,0.441925749919319,0.442738657264778,5,-3839157.30702888,312773.668497933,7325456.35144759,3206.358
"4",1.5,0.41977756833803,0.454498451763096,0.455482930306918,6,-3839671.79911361,313885.700735022,7324388.37916387,3350.385
"5",2,0.425800046849404,0.455548584595848,0.456341270750698,5,-3840873.43301269,312371.692259702,7329692.55589168,3245.263
"6",2.5,0.45075063221617,0.482677595140742,0.483492256889589,5,-3839430.66413649,312243.278517715,7327063.84562324,3235.547
"7",3,0.42526391620654,0.483700990835137,0.484651796366818,6,-3839072.00378879,312634.053835298,7329564.97429268,3384.554
