"","ARI","AMI","NMI","spARI"
"BNPMFA",0.45075063221617,0.482677595141174,0.483492256889589,0.53748317345966
"BayesSpace",0.498140802327902,0.572975909144987,0.573890577526382,0.4876634789279
"SCMEB",0.468042545011224,0.538060687855821,0.539141501392746,0.449142111574184
"DRSC",0.420972425820241,0.483827472373225,0.484427695266498,0.473493578091473
"Louvain",0.310463971089492,0.461258005731229,0.462442565425073,0.314653444593689
"SpaGCN",0.410858039649609,0.541556725807218,0.542511137339992,0.399273373269757
"BASS",0.431118489026011,0.593530572890128,0.594349576816982,0.412655654672194
"STAGATE",0.430384779974322,0.573654035928947,0.574578786585327,0.441448729795266
"GraphST",0.414676353063969,0.504055911015822,0.505097663236607,0.402347900222703
"ADEPT",0.444835210463576,0.600030972341387,0.600924174150359,0.454103188906275
"BANKSY",0.40584078039757,0.493103429175437,0.494243442032494,0.394486058048991
