,f,ARI,K,dev1,dev2,BIC
1,0,0.218437372,11,-3057668,272864.2826,5838616.171
2,0.5,0.256467271,7,-3056379.341,271679.1699,5838158.644
3,1,0.458747847,7,-3056018.068,273892.6895,5833134.276
4,1.5,0.500055205,8,-3055575.047,274021.8968,5831989.818
5,2,0.479075317,9,-3057642.47,274273.9658,5835620.526
6,2.5,0.442735644,9,-3056850.084,272256.3254,5838196.254
7,3,0.269014438,10,-3057625.197,272855.2917,5838548.546
