"","ARI","AMI","NMI","spARI"
"BNPMFA",0.524056557303957,0.544834013228072,0.545656295248614,0.635441043548998
"BayesSpace",0.42002410966834,0.58816274085349,0.589129113518238,0.433858676694262
"SCMEB",0.425942582225936,0.518838837093529,0.519776371958214,0.444958910047126
"DRSC",0.424863588669799,0.538440904126434,0.539340745755592,0.452734716165513
"Louvain",0.397233004288184,0.469557271775625,0.470807222815101,0.444000125669175
"SpaGCN",0.458034155532303,0.566326976169699,0.567311217513156,0.441280130381048
"BASS",0.447281502104352,0.643074523744686,0.643889532239492,0.435264281790789
"STAGATE",0.474095305939817,0.600265924991197,0.601194572753791,0.48843481010356
"GraphST",0.422330600328855,0.536571187470454,0.537618080015678,0.428087628639276
"ADEPT",0.463266320972455,0.591547779084827,0.592489943743517,0.478936888173626
"BANKSY",0.462137448316471,0.550340250310469,0.551362750227965,0.466977130784892
