,ARI
0,0.8726243128041987
1,0.8633436251572059
2,0.9035888857549473
3,0.885238466254209
4,0.8712652935399376
5,0.8914109074288543
6,0.8668093226962031
7,0.8953037653187824
8,0.8932329136215155
9,0.9083833747856213
10,0.9053648389386585
11,0.894421528568062
12,0.8893677048808629
13,0.8725581305548669
14,0.8869961753682978
15,0.8690545500083166
16,0.8707353823162
17,0.858579168683239
18,0.8657802046219456
19,0.8791891540669046
20,0.8904731097653932
21,0.9053919236167501
22,0.9007876518670895
23,0.9040298586032556
24,0.9188451219151853
25,0.8712542965952057
26,0.8913625697616511
27,0.8276149739642351
28,0.8871117008686118
29,0.8780163746288062
30,0.9107385094990228
31,0.8806908156720755
32,0.8908087620532774
33,0.8996537931092244
34,0.8961634638119821
35,0.8975894877294955
36,0.8998808831551541
37,0.899212843729284
38,0.9050536130696234
39,0.8850539620820034
40,0.8876918181131307
41,0.8912608623243234
42,0.870722189031027
43,0.9127971733652601
44,0.873992591387212
45,0.8974645152819257
46,0.8960275078709985
47,0.8662528831540052
48,0.877816451489437
49,0.9177779890032995
