"ARI" "" "" "elapsed"
"result.1" 0.450824124747449 0.367512441996065 0.368256622159857 0.832000000000001
"result.2" 0.467515076689899 0.399125993793138 0.399814253132657 0.781000000000001
"result.3" 0.455104068222929 0.378947103573812 0.379664814778089 0.613999999999999
"result.4" 0.494855923567949 0.41361180435342 0.414301756664423 0.561000000000002
"result.5" 0.515699321289259 0.430873215403419 0.431539212978644 0.792000000000002
"result.6" 0.523080554537646 0.440854990071731 0.44151282592894 0.579000000000001
"result.7" 0.506208845418772 0.417652989429114 0.418338161049734 0.68
"result.8" 0.510649070191612 0.420211402785994 0.420888950234771 0.785
"result.9" 0.523891250577382 0.423433012755508 0.424111400999655 0.764000000000003
"result.10" 0.519001627894347 0.420942318568968 0.421619810350496 0.815000000000001
"result.11" 0.48002722920565 0.405057286057247 0.405750839746801 0.580000000000002
"result.12" 0.474530942853193 0.392796775657837 0.393499430469863 0.622
"result.13" 0.512581183832533 0.424275301960181 0.424952703959255 0.610000000000003
"result.14" 0.480799493284563 0.397367219607071 0.39806642363166 0.626999999999995
"result.15" 0.489262661487703 0.410226713647172 0.410916742176087 0.746000000000002
"result.16" 0.485195993593818 0.392990417761 0.393704533936632 0.807000000000002
"result.17" 0.486067392526151 0.394220485559017 0.394933196231376 0.791999999999994
"result.18" 0.491945418873603 0.411782748562048 0.412460729631309 0.738
"result.19" 0.502088708094835 0.416154932295765 0.416841826484787 0.616
"result.20" 0.426697581327119 0.356928470273322 0.357672143770887 0.963999999999999
"result.21" 0.501171032021934 0.4116373791303 0.412323918367433 0.792000000000002
"result.22" 0.468953422737843 0.402764209250126 0.403451898907844 0.753
"result.23" 0.5380881069776 0.445168697708235 0.445815583377768 0.798000000000002
"result.24" 0.47763447433897 0.404636448855312 0.405335057535082 0.611000000000004
"result.25" 0.536559899738001 0.445393564665479 0.44604609444453 0.658999999999999
"result.26" 0.491972581928523 0.416626431392233 0.417301875452184 0.777999999999999
"result.27" 0.507840514584915 0.423404146012706 0.424082524300025 0.789000000000001
"result.28" 0.428229055620753 0.34834186642017 0.349096810789929 0.805
"result.29" 0.469368889941778 0.377888835928881 0.378620739697378 0.585999999999999
"result.30" 0.49771453378562 0.40936231410117 0.41005263243819 0.747
"result.31" 0.464080742404309 0.403160813326681 0.403855932812505 0.602000000000004
"result.32" 0.478212245258894 0.392306451241222 0.393021385199165 0.817999999999998
"result.33" 0.515998904856487 0.434235572148812 0.434901228036482 0.760000000000005
"result.34" 0.484959602412964 0.407809206874186 0.408491325176619 0.623000000000005
"result.35" 0.564462510972123 0.469816506614834 0.470438597664789 0.560999999999993
"result.36" 0.529148787657305 0.440554106562341 0.441212268303744 0.778000000000006
"result.37" 0.439347383655188 0.380530712919988 0.381238599731241 0.650000000000006
"result.38" 0.509695119085764 0.419124741241237 0.41980041253753 0.786000000000001
"result.39" 0.509252639526592 0.414930497934093 0.415618822810031 0.787999999999997
"result.40" 0.481558186532588 0.391307167220157 0.392023276890227 0.787000000000006
"result.41" 0.476158185216222 0.404675143823238 0.40536416737382 0.777000000000001
"result.42" 0.445807483614316 0.382316919778918 0.383024635417538 0.872
"result.43" 0.443835334430622 0.352271696143865 0.353033818489777 0.820999999999998
"result.44" 0.477154833407501 0.396831195545396 0.397526969539293 0.798000000000002
"result.45" 0.536353290035397 0.444340826433402 0.444985667555356 0.760999999999996
"result.46" 0.503175298910382 0.4114731005647 0.4121618377831 0.810999999999993
"result.47" 0.507701318498053 0.420435149413185 0.421116990184588 0.780000000000001
"result.48" 0.455793673826432 0.372957752593489 0.373695477531698 0.775999999999996
"result.49" 0.490383090230331 0.39622490352494 0.396935322505477 0.759
"result.50" 0.489807959884223 0.402741962435257 0.40343942970823 0.805000000000007
