"","ARI","AMI","NMI","spARI"
"BNPMFA",0.391380693954656,0.578910108771098,0.580074614696879,0.404017780186303
"BayesSpace",0.372462737699822,0.555240689857807,0.556427874298914,0.37007462479774
"SCMEB",0.379164582452806,0.487501071970709,0.489103139805198,0.353868146071598
"DRSC",0.416264765981968,0.474306479859365,0.475031585066205,0.504445741405582
"Louvain",0.324049173563728,0.444121428924015,0.44584351095394,0.294326961961618
"SpaGCN",0.47009156546039,0.463311651714939,0.464845346530319,0.522724199366587
"BASS",0.450679693589027,0.608625330970098,0.60970831346247,0.431081567800127
"STAGATE",0.479647390771037,0.602212124563478,0.603285237103596,0.478505163086934
"GraphST",0.402806734947143,0.562857917815213,0.56401492017304,0.38834020771208
"ADEPT",0.462923540085225,0.594381740712102,0.595459739284676,0.470209591125827
"BANKSY",0.462973726521342,0.58169208688697,0.582797157916105,0.475007515349162
