"","f","ARI","AMI","NMI","K","dev1","dev2","BIC","time"
"1",0,0.50914050514001,0.399965352569259,0.400782328721264,4,-3700509.58072076,281925.693995139,7130877.01153088,2101.747
"2",0.5,0.589178969493972,0.452239381217573,0.452991093975106,4,-3700710.38022639,280337.703751728,7124331.61143714,1981.554
"3",1,0.595751323734405,0.450098870949159,0.450594233982286,3,-3700072.20276166,272141.117522934,7119448.42896527,1920.178
"4",1.5,0.586538268473712,0.428467156320488,0.428983013792665,3,-3700263.615634,270029.35612915,7124054.7774975,1895.832
"5",2,0.58963112948279,0.440578753530811,0.441082797459192,3,-3700585.20338451,270720.598976839,7123315.46730316,1954.987
"6",2.5,0.554693141234469,0.47176297643175,0.472427491308448,4,-3700300.81036194,275210.351620413,7123767.17597087,2051.625
"7",3,0.472719088698687,0.532208798612893,0.532840372186756,4,-3701271.39945875,277464.036143476,7122323.9647102,2091.706
