"ARI" "" "" "elapsed"
"result.1" 0.213068315194549 0.27103301512108 0.274496759432718 33.745
"result.2" 0.241677111187672 0.284812699429331 0.28792438711403 30.206
"result.3" 0.262842127494839 0.288752691019117 0.291872432182817 30.8
"result.4" 0.231542476023829 0.280476992335885 0.283945876311521 30.549
"result.5" 0.243197820194355 0.298519419609117 0.301577577243272 30.043
"result.6" 0.238614533426802 0.275896639501832 0.279036474904684 29.576
"result.7" 0.209616737906457 0.267492389477289 0.270695999406133 29.785
"result.8" 0.253009381009117 0.289509594961236 0.292665547828628 30.582
"result.9" 0.225139410896704 0.260892029786925 0.264199317125668 29.026
"result.10" 0.228256180724673 0.280572432208594 0.283963239594637 29.598
"result.11" 0.280450021811989 0.316887211962132 0.319922714048424 29.661
"result.12" 0.202814516878561 0.246293296996278 0.249549344985067 29.681
"result.13" 0.186217255239998 0.24511783148239 0.248654208862476 29.728
"result.14" 0.253565093754588 0.29887982320739 0.30167051225432 30.905
"result.15" 0.269818006251701 0.301771896631231 0.304970376611215 30.928
"result.16" 0.239192909333892 0.293300969363374 0.296349283593385 33.995
"result.17" 0.265893221264079 0.258742847044926 0.262346264939183 29.245
"result.18" 0.240332052696019 0.295339217742585 0.298394440685537 30.104
"result.19" 0.233270065139823 0.284623585491303 0.287702022574616 30.822
"result.20" 0.208837839001605 0.267573942315096 0.270776528053326 31.121
"result.21" 0.218171423488242 0.282652586448431 0.285758045689797 31.717
"result.22" 0.233965353847255 0.272415431459054 0.275625003416697 29.7199999999999
"result.23" 0.230259173460736 0.270398336710264 0.273613030954219 28.956
"result.24" 0.224419600497612 0.270638426420222 0.273548125750635 29.888
"result.25" 0.22166026606074 0.275302186620365 0.278761839379662 30.3339999999999
"result.26" 0.231206587831543 0.28175311281052 0.284886884625622 30.299
"result.27" 0.192250295374245 0.245453770740956 0.2490416449364 31.231
"result.28" 0.237757727148229 0.296750426143668 0.299232491579484 28.58
"result.29" 0.249206596311814 0.292860574367729 0.295679305078836 29.496
"result.30" 0.243831341671466 0.297967607004931 0.301006706568433 29.097
