,ARI
0,0.4603121304130795
1,0.5066999073569555
2,0.5046406797618999
3,0.5319261161237521
4,0.5038472507732236
5,0.4534163163063025
6,0.5143420512348127
7,0.5204481775935428
8,0.5415838214303826
9,0.4784378209065015
10,0.5667759616432101
11,0.48538670072373613
12,0.5073626595211238
13,0.5157174537888859
14,0.5462673259120319
15,0.5733284869265309
16,0.530828933761072
17,0.47336084011935653
18,0.551477346121272
19,0.5040775880805536
20,0.3802855544071247
21,0.5706459670120755
22,0.6246224648664666
23,0.5582024260954164
24,0.639413120502673
25,0.5251925651217677
26,0.5540200951014981
27,0.4611845206494643
28,0.5309301506406183
29,0.5702449444527545
30,0.5251619320089982
31,0.5176858948888051
32,0.5544885829327383
33,0.5839435864713113
34,0.5672247161672738
35,0.5248282035520624
36,0.5938763783408164
37,0.5525924154241906
38,0.5255344478038287
39,0.5154475240161843
40,0.5104122017926669
41,0.5143829711867836
42,0.493651286801011
43,0.5194251090070285
44,0.39128388055959434
45,0.49344099786924067
46,0.5644875520176021
47,0.49367359289604285
48,0.4548779460486777
49,0.47799616261680467
