"ARI" "" "" "" "elapsed"
"result.1" 0 0 0 1 36.724
"result.2" 0 0 0 1 33.17
"result.3" 0 0 0 1 32.649
"result.4" 0 0 0 1 32.828
"result.5" 0 0 0 1 32.445
"result.6" 0 0 0 1 32.551
"result.7" 0 0 0 1 32.675
"result.8" 0.241424773301971 0.242861479944142 0.243621886620118 2 33.378
"result.9" 0 0 0 1 33.138
"result.10" 0 0 0 1 35
"result.11" 0 0 0 1 32.914
"result.12" 0.260276950011903 0.255318648009323 0.256066569447858 2 33.777
"result.13" 0 0 0 1 33.999
"result.14" 0 0 0 1 32.799
"result.15" 0 0 0 1 32.448
"result.16" 0 0 0 1 36.2429999999999
"result.17" 0 0 0 1 33.309
"result.18" 0.277242195558047 0.278691972617514 0.279416395474174 2 35.332
"result.19" 0.269857396732516 0.256930533970387 0.257676808761478 2 36.415
"result.20" 0 0 0 1 32.1
"result.21" 0 0 0 1 33.3199999999999
"result.22" 0 0 0 1 34.077
"result.23" 0 0 0 1 32.1840000000001
"result.24" 0.245489978515456 0.25279765109295 0.253548124791808 2 31.136
"result.25" 0 0 0 1 34.299
"result.26" 0 0 0 1 32.3290000000001
"result.27" 0 0 0 1 32.9010000000001
"result.28" 0 0 0 1 34.015
"result.29" 0 0 0 1 33.09
"result.30" 0.231391941367337 0.237410844292558 0.238176790017366 2 31.754
"result.31" 0 0 0 1 32.0040000000001
"result.32" 0 0 0 1 32.7820000000002
"result.33" 0 0 0 1 34.019
"result.34" 0 0 0 1 36.2360000000001
"result.35" 0 0 0 1 35.596
"result.36" 0 0 0 1 35.8319999999999
"result.37" 0.166004514387467 0.240008202010078 0.240772955728402 2 30.8630000000001
"result.38" 0 0 0 1 31.568
"result.39" 0.160060845645357 0.239556038245589 0.240321308454371 2 33.107
"result.40" 0 0 0 1 31.1310000000001
"result.41" 0.167495114976316 0.235113295898536 0.235882817108503 2 31.6670000000001
"result.42" 0.150521358694419 0.208902174781549 0.209698113201586 2 32.5359999999998
"result.43" 0 0 0 1 30.587
"result.44" 0 0 0 1 31.4379999999999
"result.45" 0 0 0 1 30.6220000000001
"result.46" 0 0 0 1 33.3409999999999
"result.47" 0 0 0 1 32.8209999999999
"result.48" 0 0 0 1 31.0809999999999
"result.49" 0 0 0 1 30.8579999999999
"result.50" 0.249187302850851 0.250153481750778 0.250906679010672 2 32.75
