,f,ARI,K,dev1,dev2,BIC
1,0,0.130624421,9,-3315593.875,217069.6593,6459384.125
2,0.5,0.616160835,4,-3315327.13,217919.1803,6457151.591
3,1,0.627478673,5,-3314890.233,219148.0013,6453820.156
4,1.5,0.135645377,10,-3315002.837,219185.3247,6453970.717
5,2,0.233681341,7,-3315368.146,217738.5281,6457961.945
6,2.5,0.242591497,10,-3315319.496,218670.3151,6456001.072
7,3,0.17990376,10,-3316131.282,219845.7613,6455518.428
