"ARI" "" "" "" "elapsed"
"result.1" 0.936415764111291 0.888713064758845 0.888843862027679 3 27.771
"result.2" 0.968729235457121 0.947112408116763 0.947174375178164 3 26.668
"result.3" 0.942651159850292 0.898895935962781 0.899014541354642 3 27.677
"result.4" 0.961838620521283 0.931309231552913 0.9313900130325 3 29.983
"result.5" 0.979109210380826 0.955237217264292 0.955289815499339 3 27.169
"result.6" 0.936018374755733 0.890577282433266 0.890705751545773 3 28.757
"result.7" 0.975859925051325 0.950811338818537 0.95086920685318 3 28.024
"result.8" 0.947845922842742 0.907194086214671 0.9073032676113 3 28.994
"result.9" 0.946788609745348 0.903921463439947 0.904034494655624 3 27.519
"result.10" 0.966015697812179 0.935622373554801 0.935698054938265 3 27.908
"result.11" 0.969876392273386 0.943439679769246 0.943505993853642 3 25.445
"result.12" 0.968525818313449 0.939462501208041 0.939533584826017 3 30.013
"result.13" 0.959325055569314 0.930805984700897 0.930887227094718 3 28.889
"result.14" 0.953686631726067 0.91583282518044 0.915931562973105 3 27.898
"result.15" 0.932466624488926 0.884688321313588 0.884823694550493 3 28.868
"result.16" 0.981684019240679 0.962875572247799 0.962919247342748 3 26.102
"result.17" 0.969581072778518 0.938138116103175 0.938210876109294 3 28.88
"result.18" 0.966112724428123 0.935383353657483 0.935459271514824 3 28.967
"result.19" 0.959656669525035 0.924824137834245 0.924912492434838 3 28.3430000000001
"result.20" 0.676378924981281 0.597238196468163 0.597474974027518 2 26.778
"result.21" 0.96001944579382 0.928154504125314 0.928238854690341 3 27.111
"result.22" 0.956484162451782 0.920813612131983 0.920906770780796 3 28.465
"result.23" 0.961339755025155 0.931471709935175 0.93155232982033 3 27.8339999999999
"result.24" 0.978063640424043 0.954730045391837 0.954783245198709 3 28.106
"result.25" 0.966595249858507 0.936074070753067 0.93614926651536 3 28.189
"result.26" 0.961074353443654 0.9273243341036 0.927409834141464 3 26.578
"result.27" 0.96706555275661 0.937228784983437 0.937302491448969 3 26.308
"result.28" 0.96159742336334 0.9281839666593 0.928268416369123 3 28.1659999999999
"result.29" 0.958725153223436 0.92339488589011 0.923484954815254 3 27.529
"result.30" 0.971034171050841 0.944282975792517 0.944348524932553 3 27.949
"result.31" 0.986908283339567 0.971594690541073 0.971628079987433 3 28.052
"result.32" 0.968776492579665 0.938301043296758 0.938373611673026 3 26.713
"result.33" 0.973262932831125 0.948092792156436 0.948153837695639 3 26.37
"result.34" 0.974851994531244 0.952897240437176 0.952952653795046 3 28.264
"result.35" 0.974708188387975 0.948916675367082 0.948976692975106 3 26.674
"result.36" 0.971549842457839 0.945787989574575 0.945851668333145 3 26.7990000000001
"result.37" 0.946120508457961 0.900856739989764 0.900973319202363 3 26.8019999999999
"result.38" 0.978470501941283 0.954314294351005 0.954368041244827 3 27.8420000000001
"result.39" 0.968811754618232 0.938880761728328 0.938952514501463 3 26.222
"result.40" 0.970769828349003 0.947835138694853 0.947896341674436 3 28.319
"result.41" 0.958327174664853 0.922118645822766 0.922210052202652 3 27.328
"result.42" 0.951742361224486 0.908282138192937 0.908389961179717 3 26.9679999999998
"result.43" 0.974892389510085 0.953320207583011 0.953374999474973 3 28.989
"result.44" 0.989113949884041 0.976450914060149 0.976478592504588 3 27.1010000000001
"result.45" 0.957395347262233 0.917057786831987 0.917155364747321 3 29.0840000000001
"result.46" 0.728310440268414 0.684307757786997 0.684752034464829 4 28.298
"result.47" 0.965852988369661 0.935321149411726 0.935397122777754 3 28.047
"result.48" 0.964250602861058 0.933912287592869 0.933990036527728 3 27.1110000000001
"result.49" 0.975620790836843 0.952567356977895 0.95262315902423 3 25.3880000000001
"result.50" 0.961070005910482 0.926613112341453 0.926699448126927 3 25.634
