,ARI,AMI,NMI
0,0.8495885731698327,0.7769283360610337,0.7771917106378751
1,0.8897187218172101,0.8321689556881567,0.8323656024381659
2,0.8833628478473198,0.8202719848568736,0.8204842340851322
3,0.8711378919584929,0.808914808383557,0.8091384774488033
4,0.8620343787878086,0.7986529054870579,0.7988885063081608
5,0.888259989099312,0.8260072342582068,0.826212662786961
6,0.9067535037807655,0.8469924021723586,0.8471725294286259
7,0.8257042675791756,0.7584692473522601,0.7587528722828932
8,0.8528267185194287,0.7996143070641092,0.7998489621802982
9,0.9248974262513708,0.8686714785166151,0.8688258215620825
10,0.8596826986354807,0.7860918202829709,0.7863440141885104
11,0.914007087817986,0.8603808884178152,0.8605449618622595
12,0.8780521830261355,0.8187327617879856,0.8189458946690409
13,0.9019195266537332,0.8425426033864469,0.8427279504746764
14,0.8580690080483825,0.7898082676162795,0.7900552502980854
15,0.8933049088097698,0.8259843058864372,0.8261892172355447
16,0.856324845233074,0.7881776392755686,0.7884263699609494
17,0.8507951869605723,0.779194775207828,0.7794540519098113
18,0.8708909346641707,0.7987381809463898,0.7989749526783031
19,0.8874758954715154,0.8249141787718571,0.8251211235847279
20,0.8881430291084553,0.8354094750059115,0.8356021937640524
21,0.8975019232322689,0.8486218555573637,0.8487997598423502
22,0.9040052133104244,0.8459232239323409,0.8461039380512989
23,0.9131381861753453,0.8563385261685047,0.856507704593796
24,0.868559478227725,0.807039410937917,0.8072654038957361
25,0.869549854505,0.8054502075829674,0.80567965622164
26,0.9226911612445688,0.8742350684027038,0.874382979872804
27,0.8146035784532983,0.7397399152799359,0.74004431217516
28,0.8493855230881319,0.790309106893818,0.7905577675968174
29,0.9089612928251769,0.8560444940741078,0.8562134763891548
30,0.9144279613055625,0.8587785432693422,0.8589449053444973
31,0.9020137346979967,0.8435445736796079,0.8437282148269865
32,0.9165694396462,0.8672424037894889,0.8673991912102798
33,0.9047286622138442,0.8463871034284921,0.8465671722392848
34,0.8580615516781531,0.7927663579260211,0.7930112029697681
35,0.8828225948864082,0.8139813595547939,0.8141998950173879
36,0.8748337126699158,0.8053896328424908,0.8056188213672429
37,0.9029669072393707,0.8515332841659813,0.851707333528084
38,0.9016587086752885,0.8393044176246824,0.8394941630074818
39,0.8383107327574506,0.7799534368574633,0.780211428188125
40,0.8893320895184729,0.8249323797783847,0.8251385141249806
41,0.8124866522572294,0.7363657180759426,0.7366745696537551
42,0.9146202291511291,0.8556767289798709,0.8558464356828882
43,0.8700130073765695,0.8011308560173718,0.8013639868992377
44,0.8911900594350489,0.8271521567828093,0.8273550812822571
45,0.846591909307847,0.7933973947699094,0.7936385615652455
46,0.8978594900191541,0.8460817094461194,0.8462634105465272
47,0.838674558030205,0.7782594824290241,0.7785183933595141
48,0.9195622653503982,0.8623176124471172,0.8624793852361944
49,0.9001921139634859,0.8471861741889742,0.8473652312672384
