"ARI" "" "" "" ""
"result.1" 0.982120244691751 5 -8098385.24509916 -99149.0791979907 16558080.2316716
"result.2" 0.972018329241668 5 -8151617.49735578 -99150.771814512 16664548.1214179
"result.3" 0.989544428081456 5 -8138332.19651501 -99477.3373709551 16638630.6508492
"result.4" 0.975853494794066 5 -8136957.80269724 -99170.8589283744 16635268.9063285
"result.5" 0.988325361274682 5 -8132423.01086927 -99329.8404670076 16626517.2857498
"result.6" 0.98345081261814 5 -8129481.42267094 -98964.9893740839 16619904.4071673
"result.7" 0.986886539311178 5 -8102426.29913214 -99249.3853384952 16566362.9520186
"result.8" 0.968643882232469 5 -8160393.33550968 -99496.9265789059 16682792.1072545
"result.9" 0.977465319349778 5 -8091205.88274982 -98996.879265449 16543417.1071078
"result.10" 0.981417738615876 5 -8132886.23182127 -99291.3780297342 16627366.8027793
"result.11" 0.989404497691529 5 -8163745.4030555 -98985.7014161528 16688473.7920206
"result.12" 0.978712456352181 5 -8116179.85795593 -99125.8570964981 16593623.0131822
"result.13" 0.980308979141064 5 -8119615.84030081 -99049.9116931035 16600343.0870651
"result.14" 0.97841738587858 5 -8143764.90414919 -99298.201186851 16649137.7937494
"result.15" 0.985058138883832 5 -8122990.99466662 -99248.3580017819 16607490.2884141
"result.16" 0.982723878708623 5 -8103582.58699752 -99236.5150052435 16568649.7870828
"result.17" 0.992525483311768 5 -8110563.583148 -98996.1763724766 16582131.1021182
"result.18" 0.990137417732004 5 -8105499.53044696 -99018.8936977565 16572048.4313667
"result.19" 0.98146684608721 5 -8093880.42265188 -99248.9819402259 16549270.3922615
"result.20" 0.971558726198709 5 -8130436.29352842 -99142.2019533053 16622168.5740408
"result.21" 0.977115132387043 5 -8190922.86729055 -99472.470653056 16743802.2589645
"result.22" 0.976190710110361 5 -8140078.6298038 -99111.5401330147 16641391.9229509
"result.23" 0.985928660691094 5 -8125485.94410681 -98883.8809496909 16611751.2331903
"result.24" 0.981818803498598 5 -8109138.35221895 -99175.510179984 16579639.3078752
"result.25" 0.984629829312363 5 -8101140.56937242 -99067.849097787 16563428.4200177
"result.26" 0.975587969335621 5 -8120963.63873181 -99016.9178516578 16602972.6962442
"result.27" 0.98695305298925 5 -8093404.85720688 -99119.1976114507 16548059.6927139
"result.28" 0.983760342614574 5 -8075745.9399955 -99388.036708833 16513279.536486
"result.29" 0.978476712882346 5 -8129982.74764926 -99188.3934698952 16621353.8653156
"result.30" 0.986744251760583 5 -8091536.09118842 -99016.9548109291 16544117.675076
"result.31" 0.99040844248427 5 -8148597.95512107 -99213.6308982002 16658634.7551158
"result.32" 0.972976025868633 5 -8123156.04750345 -98925.8030356947 16607175.2841556
"result.33" 0.989245624825772 5 -8097756.9907943 -99003.8670134254 16556533.2986927
"result.34" 0.98027011176878 5 -8133682.74581648 -98998.1255988117 16628373.3259079
"result.35" 0.983507719354808 5 -8111533.01579447 -99146.9905750522 16584371.5958163
"result.36" 0.981596247405813 5 -8106054.53314935 -99234.6421566447 16573589.9336893
"result.37" 0.988759257281873 5 -8147813.75974424 -99192.3108676496 16657023.7243011
"result.38" 0.974792551431634 5 -8113475.70971774 -98867.8769589992 16587698.7564308
"result.39" 0.98969599467006 5 -8095344.38932237 -99099.1585448011 16551898.6788116
"result.40" 0.974759031855335 5 -8148278.65143405 -99201.1318041072 16657971.1495536
"result.41" 0.973104985778017 5 -8133659.66056875 -98661.9559808445 16627654.8161765
"result.42" 0.982268259269991 5 -8174440.37138264 -99277.9247127791 16710448.1752681
"result.43" 0.984555044838338 5 -8110662.5302801 -99218.3083814407 16582773.2604004
"result.44" 0.984417772062872 5 -8095241.68832101 -99165.579660962 16551826.1190412
"result.45" 0.988705624017081 5 -8110460.84633299 -98942.1258703422 16581817.527484
"result.46" 0.96070163573697 5 -8108770.33819445 -99212.2880066413 16578976.8354795
"result.47" 0.985337569959853 5 -8099109.79359504 -99322.6159685211 16559876.4022044
"result.48" 0.96846577361251 5 -8102966.34101265 -99328.7531486124 16567601.7713998
"result.49" 0.980961585652274 5 -8097671.86961299 -99247.1455589378 16556849.6134211
"result.50" 0.985935326421745 5 -8105877.74984338 -99034.8612038305 16572836.8051717
