"ARI" "" "" "elapsed"
"result.1" 0.0560208838261144 0.0920439287379323 0.0949044645895527 36.587
"result.2" 0.0206673849003416 0.0493512411920456 0.0523296735084132 35.588
"result.3" 0.023202913576374 0.0483392123774159 0.0514092771807171 35.434
"result.4" 0.0249569453687806 0.0517493756878802 0.0547418110314146 34.747
"result.5" 0.0283856226966493 0.04316535447053 0.0461644839192313 34.803
"result.6" 0.0427912331772156 0.0535559015774159 0.0565354020709596 34.959
"result.7" 0.0392064293331994 0.0590097118275174 0.0619725518176239 35.211
"result.8" 0.0528005101968263 0.0829513656394536 0.0858236649664442 34.745
"result.9" 0.0190447630711026 0.0496569510569115 0.0526603898900432 35.548
"result.10" 0.0264228190058257 0.0439799299172476 0.0470384503924732 35.083
"result.11" 0.0584630386694452 0.0875017727820875 0.0904378669446121 34.505
"result.12" 0.0346099560529352 0.0807596145810166 0.0837565484388538 35.768
"result.13" 0.0475548128814187 0.075608881063052 0.0785590936666923 35.241
"result.14" 0.0497865343473356 0.069451795914558 0.0724076475521023 34.851
"result.15" 0.0278053892083552 0.0513755325898478 0.0543459974066409 35.066
"result.16" 0.0632012605838785 0.0821950287269385 0.0851015348300456 35.0500000000001
"result.17" 0.0241837555104064 0.049181325270185 0.0521744546713868 34.535
"result.18" 0.0520321867773238 0.080473109069632 0.083373002140616 35.3680000000001
"result.19" 0.0648866400739613 0.0916976059732213 0.0945489351217833 35.578
"result.20" 0.0247018454074601 0.0478812006813976 0.0508984234554722 35.246
"result.21" 0.0327524131742962 0.0795941511869525 0.0825858093964454 35.144
"result.22" 0.048369150099986 0.0743882039588658 0.0773613428022247 35.901
"result.23" 0.0532101236007458 0.0856696889639912 0.0885478046826241 35.5880000000001
"result.24" 0.0170312803996151 0.0457648206347504 0.0487901791743879 35.254
"result.25" 0.0225460246521425 0.0344598486080833 0.0374928655625073 35.293
"result.26" 0.0204613873228746 0.0444067391408913 0.0474226436805019 35.711
"result.27" 0.0461602021790269 0.0711818531116443 0.0741268534934599 35.4970000000001
"result.28" 0.0353232787335949 0.0546525659457971 0.0576704066012986 35.268
"result.29" 0.0197949805873813 0.0430158183775301 0.0460393841287558 35.749
"result.30" 0.0331912328706946 0.0632623374393131 0.0662039513997283 35.498
