"ARI" "" "" "" "" "" ""
"result.1" 0 0 0 1 -8104172.24364676 -100436.435959937 16571933.8319344
"result.2" 0.55754922878115 0.514502361608738 0.515408280398709 3 -8095226.65733316 -99655.2894813674 16552627.9215282
"result.3" 0 0 0 1 -8111757.56246897 -100350.576564468 16586932.7507878
"result.4" 0 0 0 1 -8142497.39463328 -100251.121077953 16648213.5041434
"result.5" 0.84999595660578 0.779248503802387 0.780078308944857 5 -8096696.79720751 -98958.003102933 16554321.1836982
"result.6" 0 0 0 1 -8173906.64346516 -100688.194376358 16711906.148404
"result.7" 0 0 0 1 -8098804.04290418 -100475.057622232 16561274.6737738
"result.8" 0 0 0 1 -8095176.3875297 -100475.431302745 16554020.1103859
"result.9" 0 0 0 1 -8110136.70046762 -100533.414314408 16584056.702285
"result.10" 0 0 0 1 -8143969.16548677 -100600.021206318 16651854.8461071
"result.11" 0 0 0 1 -8139934.73458887 -100743.268922703 16644072.4797441
"result.12" 0 0 0 1 -8111423.08108446 -100496.039157572 16586554.713205
"result.13" 0 0 0 1 -8120775.79157801 -100759.289331597 16605786.6345402
"result.14" 0 0 0 1 -8097099.73778177 -100605.201206818 16558126.3506981
"result.15" 0 0 0 1 -8095480.54633229 -100499.715543341 16554676.9964722
"result.16" 0 0 0 1 -8124705.53958846 -100616.617792645 16613360.7874832
"result.17" 0 0 0 1 -8123842.3096484 -100571.848426881 16611544.7888715
"result.18" 0 0 0 1 -8081411.89188943 -100556.644842491 16526653.5461848
"result.19" 0 0 0 1 -8129713.31656546 -100527.316896932 16623197.7396457
"result.20" 0 0 0 1 -8107978.0585209 -100667.08348425 16580006.7567313
"result.21" 0 0 0 1 -8126270.03982856 -100634.706462245 16616525.9653026
"result.22" 0 0 0 1 -8094643.78151085 -100582.657677554 16553169.3510978
"result.23" 0.322211991622044 0.309267622543224 0.309910836708254 2 -8110674.00569953 -100207.189337977 16584552.6403851
"result.24" 0 0 0 1 -8115467.61865156 -100509.080190859 16594669.8704058
"result.25" 0 0 0 1 -8092848.69120868 -100318.2717686 16549050.3986755
"result.26" 0 0 0 1 -8149972.12959282 -100440.096223673 16663540.924354
"result.27" 0 0 0 1 -8134907.47914356 -100865.900099805 16634263.2312077
"result.28" 0.787471351306778 0.728303673550351 0.729065526699451 4 -8068060.01231619 -99277.7356569824 16497613.3014346
"result.29" 0.346794472571239 0.33862547577028 0.339241231219476 2 -8126654.36115049 -100013.958332953 16616126.8892769
"result.30" 0 0 0 1 -8103873.1106984 -100632.978475215 16571728.6510682
