,ARI
0,0.7466379949979287
1,0.7661035478266666
2,0.7186395660708786
3,0.7349602097231571
4,0.6896694734141401
5,0.7675886117870274
6,0.7115638066829635
7,0.6938365298482828
8,0.7744077520432051
9,0.7625579025366422
10,0.7068233294257177
11,0.6712785498262228
12,0.7696838912943214
13,0.6732959613825238
14,0.7407336811531213
15,0.7231431442363107
16,0.7061579577937431
17,0.7779638325331344
18,0.7700870884413875
19,0.712154799143182
20,0.723393390665783
21,0.7617086907036338
22,0.8064234954243036
23,0.7536444018015762
24,0.7700408783780368
25,0.7195168234405463
26,0.7368544470078363
27,0.685003390527623
28,0.7516359359522743
29,0.7653934166396521
30,0.7836381183183222
31,0.704111058839314
32,0.7606923236366944
33,0.7617770675100852
34,0.7594516619237899
35,0.7665269861550332
36,0.7103275895630371
37,0.7486358467087684
38,0.7402202213488132
39,0.7674184125654129
40,0.7753448088705741
41,0.6820475357126488
42,0.6987845301213643
43,0.7127239969836483
44,0.7774880805551861
45,0.7884203821699677
46,0.7730836553326642
47,0.7152562156669215
48,0.7590354606471227
49,0.6887601220109122
