"","ARI","AMI","NMI","spARI"
"BNPMFA",0.641200886693078,0.561179370639556,0.561646803791456,0.7164486966095
"BayesSpace",0.38875952374132,0.566176604157284,0.566786947956416,0.391392436259676
"SCMEB",0.306477762513643,0.384272400971988,0.385400783230336,0.232989540354419
"DRSC",0.363943670339469,0.512506005896827,0.513194076337058,0.366220686494103
"Louvain",0.357775323751777,0.398482382766954,0.399247223311616,0.318173867596738
"SpaGCN",0.415916020526389,0.487343614013436,0.487982446419999,0.362048536632668
"BASS",0.558357028730027,0.641168633775406,0.641620775006786,0.511318210668804
"STAGATE",0.390510664844726,0.562636874278392,0.56323591514971,0.379521602457186
"GraphST",0.386592276902026,0.49983705286628,0.500491452318023,0.365066764404333
"ADEPT",0.48119262969313,0.586827841901281,0.587354462549236,0.443522373856155
"BANKSY",0.44153359229882,0.520571677292554,0.521175307671639,0.410651164092966
