,f,ARI,K,dev1,dev2,BIC
1,0,0.112878619,10,-4175809.549,251207.8785,8117219.744
2,0.5,0.59713259,6,-4175707.227,251872.0572,8115312.478
3,1,0.633367083,6,-4174875.166,251388.4824,8114615.504
4,1.5,0.444129565,8,-4175145.169,253651.3469,8110879.293
5,2,0.387059306,8,-4175531.188,251991.6871,8115095.406
6,2.5,0.357485209,8,-4175006.863,251987.9163,8114054.297
7,3,0.365186022,8,-4175336.85,251107.5193,8116475.064
