"","ARI","AMI","NMI","spARI"
"BNPMFA",0.34664697755869,0.498312681662484,0.500257115764152,0.378759207841817
"BayesSpace",0.322816162039985,0.489111984140549,0.490569217098821,0.357475936955238
"SCMEB",0.320578727888636,0.463897938601063,0.465767254518162,0.295711397754225
"DRSC",0.206014727179899,0.274589281943029,0.275620648567562,0.286883570582183
"Louvain",0.268946328278012,0.39633685577629,0.3981884587004,0.262666003035827
"SpaGCN",0.261721305481306,0.335542982898969,0.337470527205154,0.310274110822826
"BASS",0.477335864691454,0.624266789573797,0.625338217864731,0.469353886310236
"STAGATE",0.270638534142804,0.468198434889934,0.469715316231846,0.333714043220991
"GraphST",0.320374762830379,0.447425594785961,0.449000280640857,0.351353336764339
"ADEPT",0.361682137829758,0.532072507935885,0.533399766748316,0.388901853585845
"BANKSY",0.334465565835037,0.472372607705416,0.473850001598105,0.371982800644929
